#SampleID,Sample,State,Sample_Site,Collected_Date,Collected_Time,ClassificatioN,Land_use,Ag,P,N,STATION_ID,SAMPLE_DATE.bottle,SAMPLE_DATE.Actual,SAMPLE_TIME,CURRENT_SITE_NAME,CLASS,PH,SPC,BEDROCK.SUBSTRATE,BOULDER.SUBSTRATE,COBBLE.SUBSTRATE,GRAVEL.SUBSTRATE,SAND.SUBSTRATE,SILT.SUBSTRATE,CLAY.SUBSTRATE,VEGETATION.SUBSTRATE,DETRITUS.SUBSTRATE,RIFFLE,POOL,RUN,CASCADE,RAPID,DEADWATER,TOTAL_AREA_AC,TOTAL_AREA_HA,TOTAL_LAND_AREA_AC,TOTAL_LAND_AREA_HA,HIGH_INTENSITY_DEV_AC,HIGH_INTENSITY_DEV_HA,HIGH_INTENSITY_DEV_PCT_TA,HIGH_INTENSITY_DEV_PCT_TLA,MED_INTENSITY_DEV_AC,MED_INTENSITY_DEV_HA,MED_INTENSITY_DEV_PCT_TA,MED_INTENSITY_DEV_PCT_TLA,LOW_INTENSITY_DEV_AC,LOW_INTENSITY_DEV_HA,LOW_INTENSITY_DEV_PCT_TA,LOW_INTENSITY_DEV_PCT_TLA,ALL_DEV_AC,ALL_DEV_HA,ALL_DEV_PCT_TA,ALL_DEV_PCT_TLA,TILLED_AGRICULTURE_AC,TILLED_AGRICULTURE_HA,TILLED_AGRICULTURE_PCT_TA,TILLED_AGRICULTURE_PCT_TLA,GRASSLANDS,GRASSLANDS_AC,GRASSLANDS_HA,GRASSLANDS_PCT_TA,GRASSLANDS_PCT_TLA,UPLAND_WOODY,UPLAND_WOODY_AC,UPLAND_WOODY_HA,UPLAND_WOODY_PCT_TA,UPLAND_WOODY_PCT_TLA,WETLANDS_AC,WETLANDS_HA,WETLANDS_PCT_TA,WETLANDS_PCT_TLA,NONVEGETATED_AC,NONVEGETATED_HA,NONVEGETATED_PCT_TA,WATER_AC,WATER_HA,WATER_PCT_TA,HUMAN_ALTERED,HUMAN_ALTERED_AC,HUMAN_ALTERED_HA,HUMAN_ALTERED_PCT_TA,HUMAN_ALTERED_PCT_TLA,SOURCE_LC_YEAR,NATURAL,NATURAL_AC,NATURAL_HA,NATURAL_PCT_TA,NATURAL_PCT_TLA,EGAD_SEQ.y,IMPERV_AC,IMPERV_HA,IMPERV_PCT_TA,IMPERV_PCT_TLA
ME977b071922,sample,ME,977,7/19/2022,,,,,,,977,7/19/2022,7/19/2022,12:30,PERKINS STREAM - STATION 977,B,7.9,828,0,5,80,10,5,0,0,0,0,60,0,35,5,0,0,833.283914,337.23,833.0615271,337.14,86.73091179,35.1,10.40832666,10.41110518,113.8621201,46.08,13.66426475,13.66791244,130.0963677,52.65,15.61248999,13.66791244,330.6893996,133.83,39.6850814,39.69567539,0,0,0,0,24300,6.004447739,2.43,0.720576461,0.72076882,1306800,322.9058562,130.68,38.7510008,38.76134544,34.02520385,13.77,4.083266613,4.084356647,0.889547813,0.36,0.106780566,0.222386953,0.09,0.026688017,1921500,474.7961453,192.15,56.97891647,56.99412707,NLCD2016,1472400,363.8250556,147.24,43.66159594,43.67325147,0,0,0,0,0
ME1038b071922,sample,ME,1038,7/19/2022,,,,,,,1038,7/19/2022,7/19/2022,14:00,FISH BROOK - STATION 1038,B,8.97,217.8,0,35,30,0,20,15,0,0,0,50,NA,50,0,0,20,4791.549296,1939.14,4782.876205,1935.63,4.892512973,1.98,0.10210712,0.102292277,33.58042995,13.59,0.700826139,0.702096992,130.9859155,53.01,2.733686067,0.702096992,169.4588584,68.58,3.536619326,3.543032501,75.83395107,30.69,1.582660355,1.585530292,4589100,1133.951075,458.91,23.6656456,23.70856,11033100,2726.24166,1103.31,56.89687181,57.0000465,541.0674574,218.97,11.29211919,11.3125959,16.01186064,6.48,0.334774725,8.673091179,3.51,0.181008076,5919300,1462.638992,591.93,30.52538754,30.58074115,NLCD2016,17876700,4417.272053,1787.67,92.18880535,92.35597712,0,0,0,0,0
ME768b072722,sample,ME,768,7/27/2022,,,,,,,768,7/27/2022,7/27/2022,14:30,CARRYING PLACE STREAM - STATION 768,A,7.4,45.2,40,40,10,5,5,0,0,0,0,30,20,20,30,0,0,6529.058562,2642.31,6218.606375,2516.67,0,0,0,0,1.556708673,0.63,0.023842774,0.025033079,7.561156412,3.06,0.115807759,0.025033079,9.117865085,3.69,0.139650533,0.146622322,0,0,0,0,1602000,395.8487769,160.2,6.062876801,6.365554483,22984200,5679.318013,2298.42,86.98525154,91.32782606,295.5522609,119.61,4.526720937,4.752708937,0,0,0,310.4521868,125.64,4.754930345,640800,158.3395107,64.08,2.42515072,2.546221793,NLCD2016,25782300,6370.719051,2578.23,97.57484928,102.4460895,57510,4.28727882,1.735,0.06538066,0.06875365
ME1211b072522,sample,ME,1211,7/25/2022,,,,,,,1211,7/25/2022,7/25/2022,8:41,FILLIBROWN STREAM - STATION 1211,B,7.56,175.2,0,15,30,30,25,0,0,0,0,10,15,75,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ME869b072622,sample,ME,869,7/26/2022,,,,,,,869,7/26/2022,7/26/2022,11:30,BURNHAM BROOK - STATION 869,A,7.57,96.8,5,10,45,20,15,5,0,0,0,40,10,50,0,0,0,5180.059303,2096.37,4769.3106,1930.14,0,0,0,0,0.444773907,0.18,0.008586271,0.009325748,17.79095626,7.2,0.343450822,0.009325748,18.23573017,7.38,0.352037093,0.382355684,0,0,0,0,81900,20.23721275,8.19,0.39067531,0.424321552,18331200,4529.577465,1833.12,87.44257932,94.97342162,539.9555226,218.52,10.42373245,11.32145855,2.446256486,0.99,0.051291616,410.7487027,166.23,7.929420856,355500,87.84284655,35.55,1.695788434,1.841835307,NLCD2016,20608200,5092.216457,2060.82,98.30421157,106.7704933,74961,19.8240313,8.0225,0.35943302,0.38898714
ME1212b072522,sample,ME,1212,7/25/2022,,,,,,,1212,7/25/2022,7/28/2022,12:24,KATAHADIN BROOK - STATION 1212,AA,7.43,29.2,0,20,35,15,30,0,0,0,0,40,5,55,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ME841b072622,sample,ME,841,7/26/2022,,,,,,,841,7/26/2022,7/26/2022,14:00,NORTH BROOK - STATION 841,A,7.06,55.9,0,5,70,10,5,0,0,0,10,25,5,70,0,0,0,2267.90215,917.82,2267.012602,917.46,0,0,0,0,0,0,0,0,12.67605634,5.13,0.558933124,0,12.67605634,5.13,0.558933124,0.559152443,0,0,0,0,312300,77.16827279,31.23,3.402627966,3.403963116,8055900,1990.585619,805.59,87.77211218,87.80655287,114.084507,46.17,5.030398117,5.032371984,0.889547813,0.36,0.039238768,0.889547813,0.36,0.039223377,344700,85.17420311,34.47,3.75563836,3.757112027,NLCD2016,8833500,2182.727947,883.35,96.24436164,96.28212674,64110,7.09192519,2.87,0.32482415,0.32482415
ME1212Kb072822,sample,ME,1212K,7/28/2022,,,,,,,1212K,7/28/2022,7/28/2022,14:30,WASSATAQUOIK STREAM - STATION 1148 (if not dupe of 1212),AA,7.28,18.8,0,35,35,20,10,0,0,0,0,20,0,80,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ME636b072722,sample,ME,636,7/27/2022,,,,,,,636,7/27/2022,7/27/2022,0:30,KENNEBEC RIVER - STATION 636,A,7.42,38.8,0,10,45,35,5,0,0,0,0,10,0,90,0,0,0,1597728.391,646600.68,1446717.42,585486.54,281.097109,113.76,0.017593548,0.019429994,1694.14381,685.62,0.106034531,0.117102607,6717.197924,2718.45,0.420421766,0.117102607,8692.438844,3517.83,0.544049845,0.600838749,37.36100815,15.12,0.002338383,0.002582468,277640100,68603.92884,27764.01,4.293841757,4.742040697,5389696800,1331775.834,538969.68,83.35433238,92.05500779,150720.7561,60996.69,9.433440435,10.41811995,5647.294292,2285.46,0.39035227,151010.9711,61114.14,9.45160466,167748300,41450.03706,16774.83,2.594310603,2.865109418,NLCD2016,6300158400,1556747.813,630015.84,97.43507229,107.6055207,0,0,0,0,0
ME486b072722,sample,ME,486,7/27/2022,,,,,,,486,7/27/2022,7/27/2022,10:15,EAST BRANCH WESSERUNSETT STREAM - STATION 486,A,7.77,67.6,20,45,30,0,5,0,0,0,0,80,0,20,0,0,0,11405.78206,4615.92,11221.86805,4541.49,3.335804299,1.35,0.029246607,0.029725927,10.67457376,4.32,0.093589144,0.095122966,68.93995552,27.9,0.604429886,0.095122966,82.95033358,33.57,0.727265637,0.739184717,0,0,0,0,2418300,597.5537435,241.83,5.239042271,5.324904382,38070000,9406.968125,3807,82.47543285,83.82711401,1028.984433,416.43,9.021603494,9.169457601,10.22979985,4.14,0.091159509,183.9140104,74.43,1.612462954,1885500,465.9006672,188.55,4.084776166,4.151721131,NLCD2016,44694000,11043.7361,4469.4,96.82576821,98.4126355,57229,106.2676804,43.005,0.91034851,0.92359632
ME1148b072822,sample,ME,1148,7/28/2022,,,,,,,1148,7/28/2022,7/28/2022,14:30,WASSATAQUOIK STREAM - STATION 1148,AA,7.28,18.8,0,35,35,20,10,0,0,0,0,20,0,80,0,0,0,51419.19941,20809.35,51002.66864,20640.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364500,90.06671609,36.45,0.175161646,0.176592164,189515700,46828.68792,18951.57,91.07237852,91.8161523,3344.699778,1353.6,6.504768289,6.557891708,1155.744996,467.73,2.266048085,416.5307635,168.57,0.810068551,0,0,0,0,0,NLCD2016,208093500,51419.19941,20809.35,100,100.8166843,134372,0,0,0,0
XB1120822,blank,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XB2120822,blank,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XB3120822,blank,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT19163b052422,sample,CT,19163,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT14842b052422,sample,CT,14842,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT15680-Db052622,sample,CT,15680-D,5/26/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT15680b052622,sample,CT,15680,5/26/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT20123b051322,sample,CT,20123,6/13/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT14866b061322,sample,CT,14866,6/13/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT16416b061322,sample,CT,16416,6/13/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT17339b061322,sample,CT,17339,6/13/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT19040b061522,sample,CT,19040,6/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT16933b061522,sample,CT,16933,6/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT16758-Db061622,sample,CT,16758-D,6/16/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT16758b062022,sample,CT,16758,6/16/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT20059b062022,sample,CT,20059,6/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT20229b062022,sample,CT,20229,6/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT14413b062022,sample,CT,14413,6/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT20634b062322,sample,CT,20634,6/23/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT18795-Db062322,sample,CT,18795-D,6/23/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT18795b062322,sample,CT,18795,6/23/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT20525b062922,sample,CT,20525,6/29/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT16038b063022,sample,CT,16038,6/30/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT20636b063022,sample,CT,20636,6/30/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT15244b070522,sample,CT,15244,7/5/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT17141b070522,sample,CT,17141,7/5/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT20638b070522,sample,CT,20638,7/5/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT20635b070622,sample,CT,20635,7/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT19022b070622,sample,CT,19022,7/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT16583b070622,sample,CT,16583,7/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT20640b070722,sample,CT,20640,7/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT20641b070722,sample,CT,20641,7/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT16119b070722,sample,CT,16119,7/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT14458b070822,sample,CT,14458,7/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT14317b070822,sample,CT,14317,7/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT14453b070822,sample,CT,14453,7/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT16122b071322,sample,CT,16122,7/13/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT19249b071322,sample,CT,19249,7/13/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT15014b071322,sample,CT,15014,7/13/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT16046b072022,sample,CT,16046,7/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT20637-Db072022,sample,CT,20637-D,7/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT20637b072022,sample,CT,20637,7/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT16128b072122,sample,CT,16128,7/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT20633b072122,sample,CT,20633,7/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT17852b072122,sample,CT,17852,7/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT16120b072522,sample,CT,16120,7/25/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT19957b072722,sample,CT,19957,7/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT20639b072722,sample,CT,20639,7/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT19940b072722,sample,CT,19940,7/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT20632b072822,sample,CT,20632,7/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT16124b072822,sample,CT,16124,7/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT16028b072822,sample,CT,16028,7/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT16103b072822,sample,CT,16103,7/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT16191b082422,sample,CT,16191,8/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XB1121222,blank,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XB2121222,blank,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XB3121222,blank,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XB1121322,blank,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XB2121322,blank,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA9628b090622,sample,MA,Primestrs-9628,9/6/2022,16:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA208b090722,sample,MA,PrimeRef-208,9/7/2022,9:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA0208QCb090722,sample,MA,PrimeRef-0208QC,9/7/2022,11:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA5379b090722,sample,MA,PrimeRef-5379,9/7/2022,13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA363b090822,sample,MA,PrimeRef-363,9/8/2022,8:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA4614b090822,sample,MA,PrimeRef-4614,9/8/2022,10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA387b090822,sample,MA,Primestrs-387,9/8/2022,12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA3479b090822,sample,MA,PrimeRef-3479,9/8/2022,14:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA6009b090922,sample,MA,Primestrs-6009,9/9/2022,8:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA4990b090922,sample,MA,Primestrs-4990,9/9/2022,10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA4990QCb090922,sample,MA,Primestrs-4990QC,9/9/2022,11:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA1351b090922,sample,MA,PrimeRef-1351,9/9/2022,15:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA4427b091022,sample,MA,PrimeRef-4427,9/10/2022,8:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA6327b091022,sample,MA,Primestrs-6327,9/10/2022,11:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA5837b091022,sample,MA,Primestrs-5837,9/10/2022,13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA5537b091022,sample,MA,PrimeRef-5537,9/10/2022,15:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA7407b091122,sample,MA,Primestrs-7407,9/11/2022,8:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA3779b091122,sample,MA,Primestrs-3779,9/11/2022,10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA6977b091122,sample,MA,Primestrs-6977,9/11/2022,14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA5948b091122,sample,MA,OverRef-5948,9/11/2022,16:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA6365b091222,sample,MA,Overstrs-6365,9/12/2022,10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA2275b091222,sample,MA,OverRef-2275,9/12/2022,12:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XB1121422,blank,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XB2121422,blank,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XB1121522,blank,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nehu1to100018SNX,,pos_control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nehu1to10018S,,pos_control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC01092318S,,blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
